0,gm,GM,"Whole brain grey matter"
1,A8m_l,SFG,"Superior frontal gyrus, medial area 8, L"
2,A8m_r,SFG,"Superior frontal gyrus, medial area 8, R"
3,A8dl_l,SFG,"Superior frontal gyrus, dorsolateral area 8, L"
4,A8dl_r,SFG,"Superior frontal gyrus, dorsolateral area 8, R"
5,A9l_l,SFG,"Superior frontal gyrus, lateral area 9, L"
6,A9l_r,SFG,"Superior frontal gyrus, lateral area 9, R"
7,A6dl_l,SFG,"Superior frontal gyrus, dorsolateral area 6, L"
8,A6dl_r,SFG,"Superior frontal gyrus, dorsolateral area 6, R"
9,A6m_l,SFG,"Superior frontal gyrus, medial area 6, L"
10,A6m_r,SFG,"Superior frontal gyrus, medial area 6, R"
11,A9m_l,SFG,"Superior frontal gyrus, medial area 9, L"
12,A9m_r,SFG,"Superior frontal gyrus, medial area 9, R"
13,A10m_l,SFG,"Superior frontal gyrus, medial area 10, L"
14,A10m_r,SFG,"Superior frontal gyrus, medial area 10, R"
15,A9_46d_l,MFG,"Middle frontal gyrus, dorsal area 9/46, L"
16,A9_46d_r,MFG,"Middle frontal gyrus, dorsal area 9/46, R"
17,IFJ_l,MFG,"Middle frontal gyrus, Inferior frontal junction, area 44. L"
18,IFJ_r,MFG,"Middle frontal gyrus, Inferior frontal junction, area 44, R"
19,A46_l,MFG,"Middle frontal gyrus, area 46, L"
20,A46_r,MFG,"Middle frontal gyrus, area 46, R"
21,A9_46v_l,MFG,"Middle frontal gyrus, ventral area 9/46, L"
22,A9_46v_r,MFG,"Middle frontal gyrus, ventral area 9/46, R"
23,A8vl_l,MFG,"Middle frontal gyrus, ventrolateral area 8, L"
24,A8vl_r,MFG,"Middle frontal gyrus, ventrolateral area 8, R"
25,A6vl_l,MFG,"Middle frontal gyrus, ventrolateral area 6, L"
26,A6vl_r,MFG,"Middle frontal gyrus, ventrolateral area 6, R"
27,A10l_l,MFG,"Middle frontal gyrus, lateral area 10, L"
28,A10l_r,MFG,"Middle frontal gyrus, lateral area 10, R"
29,A44d_l,IFG,"Inferior frontal gyrus, dorsal area 44, L"
30,A44d_r,IFG,"Inferior frontal gyrus, dorsal area 44, R"
31,IFS_l,IFG,"Inferior frontal sulcus, area 45, L"
32,IFS_r,IFG,"Inferior frontal sulcus, area 45, R"
33,A45c_l,IFG,"Inferior frontal gyrus, caudal area 45, L"
34,A45c_r,IFG,"Inferior frontal gyrus, caudal area 45, R"
35,A45r_l,IFG,"Inferior frontal gyrus, rostral area 45, L"
36,A45r_r,IFG,"Inferior frontal gyrus, rostral area 45, R"
37,A44op_l,IFG,"Inferior frontal gyrus, opercular area 44, L"
38,A44op_r,IFG,"Inferior frontal gyrus, opercular area 44, R"
39,A44v_l,IFG,"Inferior frontal gyrus, ventral area 44, L"
40,A44v_r,IFG,"Inferior frontal gyrus, ventral area 44, R"
41,A14m_l,OrG,"Orbital gyrus, medial area 14, L"
42,A14m_r,OrG,"Orbital gyrus, medial area 14, R"
43,A12_47o_l,OrG,"Orbital gyrus, orbital area 12/47, L"
44,A12_47o_r,OrG,"Orbital gyrus, orbital area 12/47, R"
45,A11l_l,OrG,"Orbital gyrus, lateral area 11, L"
46,A11l_r,OrG,"Orbital gyrus, lateral area 11, R"
47,A11m_l,OrG,"Orbital gyrus, medial area 11, L"
48,A11m_r,OrG,"Orbital gyrus, medial area 11, R"
49,A13_l,OrG,"Orbital gyrus, area 13, L"
50,A13_r,OrG,"Orbital gyrus, area 13, R"
51,A12_47l_l,OrG,"Orbital gyrus, lateral area 12/47, L"
52,A12_47l_r,OrG,"Orbital gyrus, lateral area 12/47, R"
53,A4hf_l,PrG,"Precentral gyrus, head and face region, area 4, L"
54,A4hf_r,PrG,"Precentral gyrus, head and face region, area 4, R"
55,A6cdl_l,PrG,"Precentral gyrus, caudal dorsolateral area 6, L"
56,A6cdl_r,PrG,"Precentral gyrus, caudal dorsolateral area 6, R"
57,A4ul_l,PrG,"Precentral gyrus, upper limb region, area 4, L"
58,A4ul_r,PrG,"Precentral gyrus, upper limb region, area 4, R"
59,A4t_l,PrG,"Precentral gyrus, trunk region, area 4, L"
60,A4t_r,PrG,"Precentral gyrus, trunk region, area 4, R"
61,A4tl_l,PrG,"Precentral gyrus, tong and larynx region, area 4, L"
62,A4tl_r,PrG,"Precentral gyrus, tong and larynx region, area 4, R"
63,A6cvl_l,PrG,"Precentral gyrus, caudal vetrolateral area 6, R"
64,A6cvl_r,PrG,"Precentral gyrus, caudal vetrolateral area 6, R"
65,A1_2_3ll_l,PCL,"Paracentral lobule, lower limb region, area 1/2/3, L"
66,A1_2_3ll_r,PCL,"Paracentral lobule, lower limb region, area 1/2/3, R"
67,A4ll_l,PCL,"Paracentral lobule, lower limb region, area 4, L"
68,A4ll_r,PCL,"Paracentral lobule, lower limb region, area 4, R"
69,A38m_l,STG,"Superior temporal gyrus, medial area 38, L"
70,A38m_r,STG,"Superior temporal gyrus, medial area 38, R"
71,A41_42_l,STG,"Superior frontal gyrus, area 41/42, L"
72,A41_42_r,STG,"Superior frontal gyrus, area 41/42, R"
73,TE1.0_TE1.2_l,STG,"Superior frontal gyrus, TE1.0 and TE1.2, area 48, L"
74,TE1.0_TE1.2_r,STG,"Superior frontal gyrus, TE1.0 and TE1.2, area 48, R"
75,A22c_l,STG,"Superior frontal gyrus, caudal area 22, L"
76,A22c_r,STG,"Superior frontal gyrus, caudal area 22, R"
77,A38l_l,STG,"Superior temporal gyrus, lateral area 38, L"
78,A38l_r,STG,"Superior temporal gyrus, lateral area 38, R"
79,A22r_l,STG,"Superior temporal gyrus, rostral area 22, L"
80,A22r_r,STG,"Superior temporal gyrus, rostral area 22, R"
81,A21c_l,MTG,"Middle temporal gyrus, caudal area 21, L"
82,A21c_r,MTG,"Middle temporal gyrus, caudal area 21, R"
83,A21r_l,MTG,"Middle temporal gyrus, rostral area 21, L"
84,A21r_r,MTG,"Middle temporal gyrus, rostral area 21, R"
85,A37dl_l,MTG,"Middle temporal gyrus, dorsolateral area 37, L"
86,A37dl_r,MTG,"Middle temporal gyrus, dorsolateral area 37, R"
87,aSTS_l,MTG,"Middle temporal gyrus, anterior surerior temporal sulcus, area 21/22, L"
88,aSTS_r,MTG,"Middle temporal gyrus, anterior surerior temporal sulcus, area 21/22, R"
89,A20iv_l,ITG,"Inferior temporal gyrus, intermediate ventral area 20, L"
90,A20iv_r,ITG,"Inferior temporal gyrus, intermediate ventral area 20, R"
91,A37elv_l,ITG,"Inferior temporal gyrus, extreme lateroventral area 37, L"
92,A37elv_r,ITG,"Inferior temporal gyrus, extreme lateroventral area 37, R"
93,A20r_l,ITG,"Inferior temporal gyrus, rostral area 20, L"
94,A20r_r,ITG,"Inferior temporal gyrus, rostral area 20, R"
95,A20il_l,ITG,"Inferior temporal gyrus, intermediate lateral area 20, L"
96,A20il_r,ITG,"Inferior temporal gyrus, intermediate lateral area 20, R"
97,A37vl_l,ITG,"Inferior temporal gyrus, ventrolateral area 37, L"
98,A37vl_r,ITG,"Inferior temporal gyrus, ventrolateral area 37, R"
99,A20cl_l,ITG,"Inferior temporal gyrus, caudolateral of area 20, L"
100,A20cl_r,ITG,"Inferior temporal gyrus, caudolateral of area 20, R"
101,A20cv_l,ITG,"Inferior temporal gyrus, caudoventral of area 20, L"
102,A20cv_r,ITG,"Inferior temporal gyrus, caudoventral of area 20, R"
103,A20rv_l,FuG,"Fuciform gyrus, rostroventral area 20, L"
104,A20rv_r,FuG,"Fuciform gyrus, rostroventral area 20, R"
105,A37mv_l,FuG,"Fuciform gyrus, medioventral area 37, L"
106,A37mv_r,FuG,"Fuciform gyrus, medioventral area 37, R"
107,A37lv_l,FuG,"Fuciform gyrus, lateroventral area 37, L"
108,A37lv_r,FuG,"Fuciform gyrus, lateroventral area 37, R"
109,A35_36r_l,PhG,"Parahippocampal gyrus, rostral area 35/36, L"
110,A35_36r_r,PhG,"Parahippocampal gyrus, rostral area 35/36, R"
111,A35_36c_l,PhG,"Parahippocampal gyrus, caudal area 35/36, L"
112,A35_36c_r,PhG,"Parahippocampal gyrus, caudal area 35/36, R"
113,TL_l,PhG,"Parahippocampal gyrus, lateral posterior parahippocampal gyrus, area TL, area 20/30, L "
114,TL_r,PhG,"Parahippocampal gyrus, lateral posterior parahippocampal gyrus, area TL, area 20/30, R"
115,A28_34_l,PhG,"Parahippocampal gyrus, entorchinal cortex, area 28/34, L"
116,A28_34_r,PhG,"Parahippocampal gyrus, entorchinal cortex, area 28/34, R"
117,TI_l,PhG,"Parahippocampal gyrus, temporal agranular insular cortex, area TI, area 28/36, L"
118,TI_r,PhG,"Parahippocampal gyrus, temporal agranular insular cortex, area TI, area 28/36, L"
119,TH_l,PhG,"Parahippocampal gyrus, medial posterior parahippocampal gyrus, area TH, area 30, L "
120,TH_r,PhG,"Parahippocampal gyrus, medial posterior parahippocampal gyrus, area TH, area 30, R "
121,rpSTS_l,pSTS,"Posterior superior temporal gyrus, rostroposterior STS, area 21/22, L"
122,rpSTS_r,pSTS,"Posterior superior temporal gyrus, rostroposterior STS, area 21/22, R"
123,cpSTS_l,pSTS,"Posterior superior temporal gyrus, caudoposterior STS, area 21/22, L"
124,cpSTS_r,pSTS,"Posterior superior temporal gyrus, caudoposterior STS, area 21/22, R"
125,A7r_l,SPL,"Superior parietal lobule, rostral area 7, L"
126,A7r_r,SPL,"Superior parietal lobule, rostral area 7, R"
127,A7c_l,SPL,"Superior parietal lobule, caudal area 7, L"
128,A7c_r,SPL,"Superior parietal lobule, caudal area 7, R"
129,A5l_l,SPL,"Superior parietal lobule, lateral area 5, L"
130,A5l_r,SPL,"Superior parietal lobule, lateral area 5, R"
131,A7pc_l,SPL,"Superior parietal lobule, postcentral area 7, L"
132,A7pc_r,SPL,"Superior parietal lobule, postcentral area 7, R"
133,A7ip_l,SPL,"Superior parietal lobule, intraparietal area 7, L"
134,A7ip_r,SPL,"Superior parietal lobule, intraparietal area 7, R"
135,A39c_l,IPL,"Inferior parietal lobule, caudal area 39, L"
136,A39c_r,IPL,"Inferior parietal lobule, caudal area 39, R"
137,A39rd_l,IPL,"Inferior parietal lobule, rostroldorsal area 39, L"
138,A39rd_r,IPL,"Inferior parietal lobule, rostroldorsal area 39, R"
139,A40rd_l,IPL,"Inferior parietal lobule, rostroldorsal area 40, L"
140,A40rd_r,IPL,"Inferior parietal lobule, rostroldorsal area 40, R"
141,A40c_l,IPL,"Inferior parietal lobule, caudal area 40, L"
142,A40c_r,IPL,"Inferior parietal lobule, caudal area 40, R"
143,A39rv_l,IPL,"Inferior parietal lobule, rostroventral area 39, L"
144,A39rv_r,IPL,"Inferior parietal lobule, rostroventral area 39, R"
